;Song;Artist;Genre
0;i love you;people;Pop
1;superstar;murray head  the trindad singers;Rock
2;ive found someone of my own;the free movement;R&B
3;pillow talk;sylvia;Soul
4;my mistake was to love you;diana ross  marvin gaye;Soul
5;me and baby brother;war;Funk
6;summer nights;john travolta  olivia newtonjohn;Pop
7;disco nights rockfreak;gq;Disco
8;i do love you;gq;R&B/Soul
9;no more tears enough is enough;barbra streisand  donna summer;Soul
10;i knew you were waiting for me;aretha franklin and george michael;Pop
11;let me be the one;expose;Dance
12;passion;rythm syndicate;Dance
13;i wanna love you;jade;R&B
14;a whole new world;peabo bryson and regina belle;Pop
15;ooh child;dino;Chicago soul
16;one woman;jade;R&B
17;sukiyaki;4:00 PM;Pop
18;this lil game we play;subway featuring 702;R&B
19;i miss you;n ii u;R&B
20;butta love;next;Pop
21;butta love;next;Pop
22;happily ever after;case;R&B